# clock	walking	resting	collected_food	energy
1	0	10	0	0
2	0	10	0	0
3	1	9	0	-1
4	1	9	0	-2
5	2	8	0	-4
6	5	5	0	-9
7	6	4	0	-15
8	6	4	0	-21
9	7	3	0	-28
10	7	3	0	-35
11	7	3	0	-42
12	7	3	0	-49
13	7	3	0	-56
14	7	3	0	-63
15	7	3	0	-70
16	8	2	0	-78
17	9	1	0	-87
18	9	1	0	-96
19	9	1	0	-105
20	9	1	0	-114
21	9	1	0	-123
22	10	0	0	-133
23	10	0	0	-143
24	10	0	0	-153
25	10	0	0	-163
26	10	0	0	-173
27	10	0	0	-183
28	10	0	0	-193
29	10	0	0	-203
30	10	0	0	-213
31	10	0	0	-223
32	10	0	0	-233
33	10	0	0	-243
34	10	0	0	-253
35	10	0	0	-263
36	10	0	0	-273
37	10	0	0	-283
38	10	0	0	-293
39	10	0	0	-303
40	10	0	0	-313
41	10	0	0	-323
42	10	0	0	-333
43	10	0	0	-343
44	10	0	0	-353
45	10	0	0	-363
46	10	0	0	-373
47	10	0	0	-383
48	10	0	0	-393
49	10	0	0	-403
50	10	0	0	-413
51	10	0	0	-423
52	10	0	0	-433
53	10	0	0	-443
54	10	0	0	-453
55	10	0	0	-463
56	10	0	0	-473
57	10	0	0	-483
58	10	0	0	-493
59	10	0	0	-503
60	10	0	0	-513
61	10	0	0	-523
62	10	0	0	-533
63	10	0	0	-543
64	10	0	0	-553
65	10	0	0	-563
66	10	0	0	-573
67	10	0	0	-583
68	10	0	0	-593
69	10	0	0	-603
70	10	0	0	-613
71	10	0	0	-623
72	10	0	0	-633
73	10	0	0	-643
74	10	0	0	-653
75	10	0	0	-663
76	10	0	0	-673
77	10	0	0	-683
78	10	0	0	-693
79	10	0	0	-703
80	10	0	0	-713
81	10	0	0	-723
82	10	0	0	-733
83	10	0	0	-743
84	10	0	0	-753
85	10	0	0	-763
86	10	0	0	-773
87	10	0	0	-783
88	10	0	0	-793
89	10	0	0	-803
90	10	0	0	-813
91	10	0	0	-823
92	10	0	0	-833
93	10	0	0	-843
94	10	0	0	-853
95	10	0	0	-863
